Date,Volcano Name,ID,Type,VEI,Latitude,Longitude,Frequency
1978-03-20,Telica,20823,Eruption,2.0,12.606,-86.84,3
1978-03-22,Kirishimayama,20782,Eruption,2.0,31.934,130.862,3
1978-03-23,Kavachi,15158,Eruption,2.0,-8.991,157.97899999999998,13
1978-03-24,Tambora,16234,Eruption,0.0,-8.25,118.0,7
1978-03-29,Copahue,20760,Eruption,2.0,-37.856,-71.183,3
1978-04-04,Niigata-Yakeyama,17547,Eruption,1.0,36.921,138.036,4
1978-04-11,Klyuchevskoy,19464,Eruption,2.0,56.056000000000004,160.642,4
1978-04-18,Cleft Segment,20718,Eruption,0.0,44.83,-130.3,4
1978-04-29,Lokon-Empung,20794,Eruption,2.0,1.358,124.792,3
1978-04-29,Lokon-Empung,20794,Eruption,2.0,1.358,124.792,1
1978-05-08,Etna,13817,Eruption,2.0,37.748000000000005,14.999,4
1978-05-22,Karkar,20910,Eruption,1.0,-4.649,145.964,3
1978-05-23,Ubinas,11790,Eruption,2.0,-16.355,-70.903,6
1978-05-26,Slamet,20933,Eruption,2.0,-7.242000000000001,109.208,3
1978-05-29,Kelut,20934,Eruption,4.0,-7.93,112.30799999999999,3
1978-06-09,Lokon-Empung,21093,Eruption,1.0,1.358,124.792,3
1978-06-12,"Negra, Sierra",11712,Eruption,3.0,-0.83,-91.17,4
1978-06-14,Sirung,21086,Eruption,1.0,-8.508,124.13,3
1978-06-15,Sabancaya,21089,Eruption,1.0,-15.787,-71.857,3
1978-06-24,Okataina,14526,Eruption,1.0,-38.12,176.5,4
1978-07-02,Shishaldin,20937,Eruption,1.0,54.756,-163.97,3
1978-07-03,Marapi,15464,Eruption,1.0,-0.38,100.47399999999999,7
1978-07-24,Tangkuban Parahu,20822,Eruption,2.0,-6.77,107.6,3
1978-08-13,Ontakesan,20964,Eruption,3.0,35.893,137.48,3
1978-08-14,Hunga Tonga-Hunga Ha'apai,20983,Eruption,2.0,-20.535999999999998,-175.382,3
1978-08-15,Villarrica,20996,Eruption,1.0,-39.42,-71.93,3
1978-08-21,Fogo,20977,Eruption,3.0,14.95,-24.35,3
1978-09-02,Saunders,22271,Eruption,1.0,-57.8,-26.483,3
1978-09-08,"Tair, Jebel at",13923,Eruption,3.0,15.55,41.83,3
1978-09-08,"Tair, Jebel at",13923,Eruption,3.0,15.55,41.83,1
1978-09-26,Llaima,12071,Eruption,1.0,-38.692,-71.729,3
1978-10-02,Monowai,14717,Eruption,0.0,-25.886999999999997,-177.188,3
