Year,Month,Day,Volcano Name,ID,Type,VEI,Latitude,Longitude
1969,2,11,Telica,10927,Eruptions,2.0,12.606,-86.84
1969,2,16,Ebeko,18872,Eruptions,1.0,50.68600000000001,156.014
1969,2,21,Deception Island,13194,Eruptions,3.0,-63.001000000000005,-60.652
1969,2,22,Kilauea,10104,Eruptions,0.0,19.421,-155.287
1969,1,12,Ioto,18410,Eruptions,1.0,24.750999999999998,141.289
1969,3,11,Supply Reef,18475,Eruptions,0.0,20.13,145.1
1969,3,21,Didicas,16877,Eruptions,2.0,19.077,122.20200000000001
1969,4,22,Moua Pihaa,10305,Eruptions,0.0,-18.325,-148.525
1969,4,22,Rincon de la Vieja,11097,Eruptions,2.0,10.83,-85.324
1969,5,3,Poas,11171,Eruptions,2.0,10.2,-84.23299999999999
1969,5,16,Lascar,11860,Eruptions,1.0,-23.37,-67.73
1969,2,27,Ebulobo,13704,Eruptions,2.0,-8.817,121.191
1970,7,2,Rumble III,14673,Eruptions,0.0,-35.745,178.47799999999998
1970,7,2,Sirung,16364,Eruptions,2.0,-8.508,124.13
1970,7,2,Lewotobi,16295,Eruptions,2.0,-8.542,122.775
1970,7,2,Sorikmarapi,15413,Eruptions,2.0,0.6859999999999999,99.539
1970,7,16,Poas,11172,Eruptions,1.0,10.2,-84.23299999999999
1970,7,26,Marapi,15466,Eruptions,2.0,-0.38,100.47399999999999
1970,8,12,Deception Island,13195,Eruptions,3.0,-63.001000000000005,-60.652
1970,9,16,Tolbachik,19321,Eruptions,2.0,55.832,160.326
1970,9,16,Ruapehu,14637,Eruptions,1.0,-39.28,175.57
1970,9,18,Jan Mayen,12970,Eruptions,3.0,71.082,-8.155
1970,9,18,Akita-Komagatake,18053,Eruptions,2.0,39.760999999999996,140.799
1970,11,9,Taal,16858,Eruptions,1.0,14.002,120.993
1970,11,27,Karangetang,16526,Eruptions,2.0,2.781,125.40700000000001
1970,7,2,Etorofu-Yakeyama [Grozny Group],18751,Eruptions,1.0,45.012,147.871
1970,8,14,Rincon de la Vieja,11098,Eruptions,1.0,10.83,-85.324
1970,6,30,Izu-Oshima,18239,Eruptions,1.0,34.724000000000004,139.394
1970,1,5,Batur,16198,Eruptions,1.0,-8.242,115.375
1970,6,21,Moua Pihaa,10306,Eruptions,0.0,-18.325,-148.525
1970,6,30,White Island,14483,Eruptions,2.0,-37.52,177.18
1970,1,15,Ulawun,15051,Eruptions,3.0,-5.05,151.33
1970,1,16,Tolbachik,19320,Eruptions,1.0,55.832,160.326
1970,1,26,Izu-Oshima,18238,Eruptions,1.0,34.724000000000004,139.394
1970,1,29,Myojinsho,18323,Eruptions,2.0,31.888,139.918
1970,2,16,Soputan,13598,Eruptions,2.0,1.112,124.73700000000001
1970,3,30,San Miguel,10861,Eruptions,1.0,13.434000000000001,-88.26899999999999
1970,2,16,Kolokol Group,18773,Eruptions,3.0,46.042,150.083
1970,5,5,Hekla,12750,Eruptions,3.0,63.983000000000004,-19.666
1970,5,9,Lopevi,15308,Eruptions,2.0,-16.507,168.34599999999998
